node,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decayed wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron-oxi bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron-red bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coccibacilli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coccoid bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curved rod bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phosphate-red bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanogens,43540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gram-positive anaerobes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycopodiopsida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equisetum sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fern leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycad leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conifer leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginkgo leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angiosperm leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angiosperm shoots & stems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angiosperm seeds & fruits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lichen,82980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi,220344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulmonate snails,20448,30672,0,0,0,0,0,0,0,0,0,0,0,0,0
Acari,5184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneidae,0,115520,219488,272916,93860,5776,0,0,0,0,0,0,0,0,0
Pseudoscorpionida,0,68000,160000,190000,65000,4000,0,0,0,0,0,0,0,0,0
Diplopoda,37172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collembola,15207,30414,0,0,0,0,0,0,0,0,0,0,0,0,0
Anisoptera,0,69372,159048,163278,54990,3384,0,0,0,0,0,0,0,0,0
Blattodea,208404,89316,0,0,0,0,0,0,0,0,0,0,0,0,0
Isoptera,237622,33946,0,0,0,0,0,0,0,0,0,0,0,0,0
Phasmatodea,5776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthoptera,100464,703248,66976,0,0,0,0,0,0,0,0,0,0,0,0
Psocodea,16646,49938,0,0,0,0,0,0,0,0,0,0,0,0,0
