resource,consumer
Detritus,Methanogens
Phosphate-red bacteria,Lichen
Detritus,Fungi
Decayed wood,Fungi
Detritus,Pulmonate snails
Bryophyta,Pulmonate snails
Lichen,Pulmonate snails
Fungi,Pulmonate snails
Conifer leaves,Acari
Angiosperm leaves,Acari
Angiosperm shoots & stems,Acari
Rhizomes,Acari
Blattodea,Araneidae
Psocodea,Araneidae
Hemiptera (other),Araneidae
Coleoptera,Araneidae
Diptera,Araneidae
Hymenoptera (other),Araneidae
Lepidoptera,Araneidae
Acari,Pseudoscorpionida
Collembola,Pseudoscorpionida
Psocodea,Pseudoscorpionida
Coleoptera,Pseudoscorpionida
Diptera,Pseudoscorpionida
Formicidae,Pseudoscorpionida
Hymenoptera (other),Pseudoscorpionida
Detritus,Diplopoda
Decayed wood,Diplopoda
Detritus,Collembola
Fungi,Collembola
Orthoptera,Anisoptera
Aphidoidea,Anisoptera
Hemiptera (other),Anisoptera
Coleoptera,Anisoptera
Diptera,Anisoptera
Hymenoptera (other),Anisoptera
Lepidoptera,Anisoptera
Detritus,Blattodea
Decayed wood,Blattodea
Carrion,Blattodea
Rods,Blattodea
Bryophyta,Blattodea
Angiosperm seeds & fruits,Blattodea
Rhizomes,Blattodea
Lichen,Blattodea
Fungi,Blattodea
Detritus,Isoptera
Decayed wood,Isoptera
Enterobacteriaceae,Isoptera
Methanogens,Isoptera
Fern leaves,Isoptera
Conifer leaves,Isoptera
Angiosperm leaves,Isoptera
Angiosperm shoots & stems,Isoptera
Fern leaves,Phasmatodea
Conifer leaves,Phasmatodea
Angiosperm leaves,Phasmatodea
Angiosperm shoots & stems,Phasmatodea
Detritus,Orthoptera
Bryophyta,Orthoptera
Fern leaves,Orthoptera
Angiosperm leaves,Orthoptera
Angiosperm shoots & stems,Orthoptera
Angiosperm seeds & fruits,Orthoptera
Lichen,Orthoptera
Diplopoda,Orthoptera
Blattodea,Orthoptera
Isoptera,Orthoptera
Aphidoidea,Orthoptera
Hemiptera (other),Orthoptera
Lepidoptera,Orthoptera
Decayed wood,Psocodea
Lichen,Psocodea
Fungi,Psocodea
Detritus,Thysanoptera
Lycopodiopsida,Thysanoptera
Fern leaves,Thysanoptera
Cycad leaves,Thysanoptera
Conifer leaves,Thysanoptera
Angiosperm leaves,Thysanoptera
Angiosperm shoots & stems,Thysanoptera
Rhizomes,Thysanoptera
Fern leaves,Aphidoidea
Conifer leaves,Aphidoidea
Angiosperm leaves,Aphidoidea
Angiosperm shoots & stems,Aphidoidea
Carrion,Hemiptera (other)
Rods,Hemiptera (other)
Coccibacilli,Hemiptera (other)
Curved rod bacteria,Hemiptera (other)
Bryophyta,Hemiptera (other)
Equisetum sp.,Hemiptera (other)
Fern leaves,Hemiptera (other)
Conifer leaves,Hemiptera (other)
Ginkgo leaves,Hemiptera (other)
Angiosperm leaves,Hemiptera (other)
Angiosperm shoots & stems,Hemiptera (other)
Rhizomes,Hemiptera (other)
Detritus,Coleoptera
Decayed wood,Coleoptera
Carrion,Coleoptera
Enterobacteriaceae,Coleoptera
Iron-oxi bacteria,Coleoptera
Iron-red bacteria,Coleoptera
Rods,Coleoptera
Coccibacilli,Coleoptera
Phosphate-red bacteria,Coleoptera
Methanogens,Coleoptera
Gram-positive anaerobes,Coleoptera
Bryophyta,Coleoptera
Lycopodiopsida,Coleoptera
Equisetum sp.,Coleoptera
Fern leaves,Coleoptera
Cycad leaves,Coleoptera
Conifer leaves,Coleoptera
Ginkgo leaves,Coleoptera
Angiosperm leaves,Coleoptera
Angiosperm shoots & stems,Coleoptera
Angiosperm seeds & fruits,Coleoptera
Rhizomes,Coleoptera
Lichen,Coleoptera
Fungi,Coleoptera
Pulmonate snails,Coleoptera
Collembola,Coleoptera
Blattodea,Coleoptera
