node,name,ID,Higher-level taxon,Resolved to,Trophic role,Habitat,M,L
Detritus,Detritus,1,NA,NA,organics,Both/Amphibious,NA,NA
Decayed wood,Decayed wood,2,NA,NA,organics,Terrestrial,NA,NA
Carrion,Carrion,3,NA,NA,organics,Both/Amphibious,NA,NA
Enterobacteriaceae,Enterobacteriaceae,4,Gram-negative bacteria,NA,chemotroph,Both/Amphibious,NA,NA
Iron-oxi bacteria,Iron-oxi bacteria,5,Gram-negative bacteria,NA,chemotroph,Both/Amphibious,NA,NA
Iron-red bacteria,Iron-red bacteria,6,Gram-negative bacteria,NA,chemotroph,Both/Amphibious,NA,NA
Rods,Rods,7,Gram-negative bacteria,NA,chemotroph,Both/Amphibious,NA,NA
Coccibacilli,Coccibacilli,8,Gram-negative/positive bacteria,NA,chemotroph,Both/Amphibious,NA,NA
Coccoid bacteria,Coccoid bacteria,9,Gram-positive bacteria,NA,chemotroph,Both/Amphibious,NA,NA
Curved rod bacteria,Curved rod bacteria,10,Gram-positive bacteria,NA,chemotroph,Both/Amphibious,NA,NA
Phosphate-red bacteria,Phosphate-red bacteria,11,Proteobacteria-alpha,phylum,chemotroph,Both/Amphibious,NA,NA
Methanogens,Methanogens,12,Proteobacteria-beta/gamma,phylum,heterotroph,Both/Amphibious,NA,NA
Gram-positive anaerobes,Gram-positive anaerobes,13,Proteobacteria-gamma,phylum,chemotroph,Both/Amphibious,NA,NA
Bryophyta,Bryophyta,14,Bryophyta,family,autotroph,Both/Amphibious,NA,NA
Lycopodiopsida,Lycopodiopsida,15,Lycopodiopsida,family,autotroph,Terrestrial,NA,NA
Equisetum sp.,Equisetum sp.,16,Equisetaceae,genus,autotroph,Terrestrial,NA,NA
Fern leaves,Fern leaves,17,Polypodiales,family,autotroph,Terrestrial,NA,NA
Cycad leaves,Cycad leaves,18,Cycadaceae,family,autotroph,Terrestrial,NA,NA
Conifer leaves,Conifer leaves,19,Coniferophyta,division,autotroph,Terrestrial,NA,NA
Ginkgo leaves,Ginkgo leaves,20,Ginkgophyta,division,autotroph,Terrestrial,NA,NA
Angiosperm leaves,Angiosperm leaves,21,Magnoliopsida,class,autotroph,Terrestrial,NA,NA
Angiosperm shoots & stems,Angiosperm shoots and stems,22,Magnoliopsida,class,autotroph,Terrestrial,NA,NA
Angiosperm seeds & fruits,Angiosperm seeds and fruits,23,Magnoliopsida,class,autotroph,Terrestrial,NA,NA
Rhizomes,Rhizomes,24,Lilopsida,class,autotroph,Terrestrial,NA,NA
Lichen,Lichen,25,NA,NA,saprobe,Terrestrial,NA,NA
Fungi,Fungi,26,Myceteae,kingdom,saprobe,Terrestrial,NA,NA
Pulmonate snails,Pulmonate snails,27,Gastropoda,NA,omnivore,Terrestrial,NA,NA
Acari,Acari,28,Arachnida,order,herbivore,Terrestrial,NA,NA
Araneidae,Araneidae,29,Arachnida,order,carnivore,Terrestrial,0.0051086,NA
Pseudoscorpionida,Pseudoscorpionida,30,Arachnida,order,carnivore,Terrestrial,0.00000212,NA
Diplopoda,Diplopoda,31,Myriapoda,class,detritivore,Terrestrial,0.00075,NA
Collembola,Collembola,32,Insecta,order,detritivore,Terrestrial,NA,NA
Anisoptera,Anisoptera,33,Insecta,suborder,carnivore,Both/Amphibious,0.0003673,NA
Blattodea,Blattodea,34,Insecta,order,detritivore,Terrestrial,0.005,NA
Isoptera,Isoptera,35,Insecta,infraorder,detritivore,Terrestrial,0.0000075,NA
Phasmatodea,Phasmatodea,36,Insecta,order,herbivore,Terrestrial,0.001061,NA
Orthoptera,Orthoptera,37,Insecta,order,omnivore,Terrestrial,0.0038951,NA
Psocodea,Psocodea,38,Insecta,order,omnivore,Terrestrial,NA,NA
Thysanoptera,Thysanoptera,39,Insecta,order,herbivore,Terrestrial,NA,NA
Aphidoidea,Aphidoidea,40,Insecta,family,herbivore,Terrestrial,NA,NA
Hemiptera (other),Hemiptera (other),41,Insecta,order,omnivore,Both/Amphibious,0.00094,NA
Coleoptera,Coleoptera,42,Insecta,order,omnivore,Both/Amphibious,0.0019,NA
Diptera,Diptera,43,Insecta,order,omnivore,Both/Amphibious,0.00016517,NA
Formicidae,Formicidae,44,Insecta,order,omnivore,Terrestrial,0.0007,NA
Hymenoptera (other),Hymenoptera (other),45,Insecta,order,omnivore,Terrestrial,0.001665,NA
Lepidoptera,Lepidoptera,46,Insecta,order,herbivore,Terrestrial,0.00091,NA
Basilemys variolosa,Basilemys variolosa,47,Testudines,species,herbivore,Terrestrial,190,1.3
Odaxosaurus priscus,Odaxosaurus priscus,48,Squamata,species,carnivore; invertivore,Terrestrial,0.05,0.14
Orthrioscincus mixtus,Orthrioscincus mixtus,49,Squamata,species,carnivore; invertivore,Terrestrial,0.03,0.113
Teiidae,Teiidae,50,Squamata,family,omnivore,Terrestrial,NA,NA
?Exostinus sp.,?Exostinus sp.,51,Squamata,family,carnivore,Terrestrial,0.075,0.16
Varanoidea,NA,52,NA,NA,carnivore,Terrestrial,NA,NA
Cryodrakon boreas,Cryodrakon boreas,53,Pterosauria,species,carnivore,Terrestrial,250,7.96578428466209
Orodrominae,Orodrominae,54,Thescelosauridae,subfamily,herbivore,Terrestrial,13,3.70043971814109
Pachycephalosauridae,Pachycephalosauridae,55,Pachycephalosauridae,family,herbivore,Terrestrial,NA,NA
Unescoceratops koppelhusae,Unescoceratops koppelhusae,56,Leptoceratopsidae,species,herbivore,Terrestrial,160,7.32192809488736
Ornithomimidae,Ornithomimidae,57,Ornithomimidae,family,herbivore,Terrestrial,NA,NA
Caenagnathus collinsi,Caenagnathus collinsi,58,Caenagnathidae,species,omnivore,Terrestrial,96,6.58496250072116
Chirostenotes pergracilis,Chirostenotes pergracilis,59,Caenagnathidae,species,omnivore,Terrestrial,63.872,5.99711172067517
Citipes elegans,Citipes elegans,60,Caenagnathidae,species,omnivore,Terrestrial,19.8,4.30742852519225
cf Richardoestesia spp.,cf Richardoestesia,61,Maniraptora indet,morphotype,carnivore,Terrestrial,NA,NA
cf Paronychodon,cf Paronychodon,62,Troodontidae,family,carnivore,Terrestrial,45,5.49185309632968
Troodontidae,Troodontidae,63,Troodontidae,family,omnivore,Terrestrial,NA,NA
Dromaeosauridae,Dromaeosauridae,64,Dromaeosauridae,family,carnivore,Terrestrial,NA,NA
Hesperonychus elizabethae,Hesperonychus elizabethae,65,Dromaeosauridae,species,carnivore,Terrestrial,2.33,1.22032995487956
