Node,Version,Chain.length,Frequency
Panthera leo,Ser Main,1,1
Panthera leo,Ser Main,2,46
Panthera leo,Ser Main,3,108
Panthera leo,Ser Main,4,162
Panthera leo,Ser Main,5,148
Panthera leo,Ser Main,6,136
Panthera leo,Ser Main,7,64
Panthera leo J,Ser Main,1,1
Panthera leo J,Ser Main,2,45
Panthera leo J,Ser Main,3,63
Panthera leo J,Ser Main,4,100
Panthera leo J,Ser Main,5,92
Panthera leo J,Ser Main,6,68
Panthera leo J,Ser Main,7,32
Panthera leo Y,Ser Main,1,3
Panthera leo Y,Ser Main,2,133
Panthera leo Y,Ser Main,3,110
Panthera leo Y,Ser Main,4,128
Panthera leo Y,Ser Main,5,132
Panthera leo Y,Ser Main,6,32
Panthera leo,Ser Main alt,1,1
Panthera leo,Ser Main alt,2,55
Panthera leo,Ser Main alt,3,130
Panthera leo,Ser Main alt,4,287
Panthera leo,Ser Main alt,5,450
Panthera leo,Ser Main alt,6,682
Panthera leo,Ser Main alt,7,762
Panthera leo,Ser Main alt,8,684
Panthera leo,Ser Main alt,9,490
Panthera leo,Ser Main alt,10,233
Panthera leo,Ser Main alt,11,42
Panthera leo J,Ser Main alt,1,1
Panthera leo J,Ser Main alt,2,38
Panthera leo J,Ser Main alt,3,52
Panthera leo J,Ser Main alt,4,175
Panthera leo J,Ser Main alt,5,334
Panthera leo J,Ser Main alt,6,546
Panthera leo J,Ser Main alt,7,698
Panthera leo J,Ser Main alt,8,684
Panthera leo J,Ser Main alt,9,490
Panthera leo J,Ser Main alt,10,233
Panthera leo J,Ser Main alt,11,42
Panthera leo,Ser Trophsp,1,1
Panthera leo,Ser Trophsp,2,35
Panthera leo,Ser Trophsp,3,86
Panthera leo,Ser Trophsp,4,140
Panthera leo,Ser Trophsp,5,148
Panthera leo,Ser Trophsp,6,136
Panthera leo,Ser Trophsp,7,64
Panthera leo J,Ser Trophsp,1,1
Panthera leo J,Ser Trophsp,2,34
Panthera leo J,Ser Trophsp,3,52
Panthera leo J,Ser Trophsp,4,89
Panthera leo J,Ser Trophsp,5,92
Panthera leo J,Ser Trophsp,6,68
Panthera leo J,Ser Trophsp,7,32
Panthera leo Y,Ser Trophsp,1,3
Panthera leo Y,Ser Trophsp,2,100
