Predator,Ont.stage,Trophic.res,Food.web.version,PATL,Var.PATL,SD.PATL,PATL.CI.L,Prey.PATL.CI.L,PATL.CI.H,Prey.PATL.CI.H,Mean.CL,Med.CL,Var.CL,SD.CL
Varanus komodoensis,Young juvenile,Full,V. komodo main,3.677207,0.372873323457778,0.610633542689703,3.240386,2.240386,4.114028,3.114028,6.166858,6,1.8214,1.349593
Varanus komodoensis,Juvenile,Full,V. komodo main,3.939109,0.612883249153754,0.782868602738515,3.665037,2.665037,4.211349,3.211349,7.556596,8,2.205831,1.485204
Varanus komodoensis,Subadult,Full,V. komodo main,4.01481,0.723499632693761,0.850587815980079,3.654341,2.654341,4.372684,3.372684,7.700654,8,2.119734,1.455931
Varanus komodoensis,Adult,Full,V. komodo main,3.597002,0.700283032149929,0.836829153501435,2.897396,1.897396,4.296609,3.296609,8.006871,8,2.052346,1.432601
Varanus komodoensis,Juvenile,Full,V. komodo cannibal,3.960197,0.610461322070005,0.781320242966996,3.690915,2.690915,4.227701,3.227701,7.541685,8,2.196705,1.482129
Varanus komodoensis,Subadult,Full,V. komodo cannibal,4.076648,0.715097985740486,0.84563466446243,3.733891,2.733891,4.41701,3.41701,8.092253,8,2.340411,1.52984
Varanus komodoensis,Adult,Full,V. komodo cannibal,3.953643,0.871735826857018,0.933667942502589,3.326396,2.326396,4.580889,3.580889,8.820034,9,2.422035,1.556289
Varanus komodoensis,Young juvenile,Trophic.sp,V. komodo main,3.865904,0.3522155588353,0.593477513335847,3.129005,2.129005,4.602804,3.602804,4.734118,5,1.355334,1.164188
Varanus komodoensis,Juvenile,Trophic.sp,V. komodo main,3.990081,0.61115052631456,0.781761169612919,3.667386,2.667386,4.312776,3.312776,6.083536,6,1.791352,1.338414
Varanus komodoensis,Subadult,Trophic.sp,V. komodo main,3.97207,0.724168308058997,0.850980791827287,3.573798,2.573798,4.370341,3.370341,6.259377,6,1.709112,1.30733
Varanus komodoensis,Adult,Trophic.sp,V. komodo main,3.615347,0.729388920687357,0.854042692543738,2.901349,1.901349,4.329344,3.329344,6.515807,7,1.718652,1.310974
Varanus komodoensis,Young juvenile,Trophic.sp,V. komodo cannibal,3.865904,0.3522155588353,0.593477513335847,3.129005,2.129005,4.602804,3.602804,4.734118,5,1.355273,1.164162
Varanus komodoensis,Juvenile,Trophic.sp,V. komodo cannibal,4.023767,0.616207019369762,0.784988547285731,3.706703,2.706703,4.340831,3.340831,6.068786,6,1.777831,1.333353
Varanus komodoensis,Subadult,Trophic.sp,V. komodo cannibal,4.060503,0.73772171490135,0.858907279571754,3.679685,2.679685,4.441321,3.441321,6.633274,7,1.91153,1.382581
Varanus komodoensis,Adult,Trophic.sp,V. komodo cannibal,3.98845,0.921047517350964,0.959712205481916,3.343706,2.343706,4.633193,3.633193,7.335227,7,2.02002,1.421274
Panthera leo,Adult,Full,P. leo main,3.136206,0.211058325516065,0.459410846101901,1,,1,,4.615038,5,1.984111,1.408585
Panthera leo,Juvenile,Full,P. leo main,3.083574,0.167745991722889,0.409568055056652,1,,1,,4.418953,4,2.08404,1.44362
Panthera leo,Young juvenile,Full,P. leo main,3.083574,0.167745991722889,0.409568055056652,1,,1,,3.648699,4,1.606339,1.267414
Panthera leo,Adult,Full,P. leo alt,3.246238,0.351628917851589,0.592983067086733,1,,1,,6.813155,7,3.626679,1.904384
Panthera leo,Juvenile,Full,P. leo alt,3.279443,0.463479652121973,0.680793399,1,,1,,7.117826,7,3.232771,1.797991
Panthera leo,Adult,Trophic.sp,P. leo main,3.176543,0.27261629085289,0.5221267,2.887399,1.887399,3.465687,2.465687,4.742623,5,1.915586,1.384047
Panthera leo,Juvenile,Trophic.sp,P. leo main,3.109877,0.221791895315641,0.470947869,2.837959,1.837959,3.381794,2.381794,4.546196,5,2.014209,1.419228
Panthera leo,Young juvenile,Trophic.sp,P. leo main,3.109877,0.2217918951095,0.470947868781142,2.887399,1.887399,3.465687,2.465687,3.773279,4,1.542814,1.242101
Panthera leo,Adult,Trophic.sp,P. leo alt,3.301413,0.419372523160448,0.64758978,2.989284,1.989284,3.613541,2.613541,6.867518,7,3.475259,1.864205
Panthera leo,Juvenile,Trophic.sp,P. leo alt,3.326278,0.532075419225,0.729435,2.862817,1.862817,3.789739,2.789739,7.129072,7,3.186746,1.785146
Gorgosaurus libratus,Young juvenile,Full,Gorgo MAZ-1a main,4.392564,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Juvenile,Full,Gorgo MAZ-1a main,4.295815,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Adult,Full,Gorgo MAZ-1a main,4.039256,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Young juvenile,Full,Gorgo MAZ-1a pack,3.94709,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Juvenile,Full,Gorgo MAZ-1a pack,3.777729,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Adult,Full,Gorgo MAZ-1a pack,3.016176,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Young juvenile,Full,Gorgo MAZ-1b main,4.392564,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Juvenile,Full,Gorgo MAZ-1b main,4.247816,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Adult,Full,Gorgo MAZ-1b main,3.956191,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Young juvenile,Full,Gorgo MAZ-1b pack,3.881847,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Juvenile,Full,Gorgo MAZ-1b pack,3.715553,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Adult,Full,Gorgo MAZ-1b pack,3.022619,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Young juvenile,Full,Gorgo MAZ-1b pack-juv,4.089319,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Juvenile,Full,Gorgo MAZ-1b pack-juv,3.913454,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Adult,Full,Gorgo MAZ-1b pack-juv,2.9875,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Young juvenile,Full,Gorgo MAZ-1a main-juv,4.392564,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Juvenile,Full,Gorgo MAZ-1a main-juv,4.426948,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Adult,Full,Gorgo MAZ-1a main-juv,4.190271,NA,NA,1,,1,,NA,NA,NA,NA
Gorgosaurus libratus,Young juvenile,Trophic.sp,Gorgo main,4.105407,0.517765193632369,0.719559027205114,3.747579,2.747579,4.463236,3.463236,7.433511,7,2.461434,1.568896
Gorgosaurus libratus,Juvenile,Trophic.sp,Gorgo main,3.929979,0.816572611527022,0.903644073475294,3.470851,2.470851,4.359821,3.359821,8.34816,8,2.831475,1.682699
Gorgosaurus libratus,Adult,Trophic.sp,Gorgo main,3.665682,0.820949062802417,0.906062394541577,3.285963,2.285963,4.033972,3.033972,8.912267,9,3.038175,1.743036
Gorgosaurus libratus,Young juvenile,Trophic.sp,Gorgo main-juv,4.105407,0.517765193632369,0.719559027205114,3.747579,2.747579,4.463236,3.463236,7.433511,7,2.461434,1.568896
Gorgosaurus libratus,Juvenile,Trophic.sp,Gorgo main-juv,4.145605,0.893379290772704,0.945187436846631,3.628054,2.628054,4.650323,3.650323,8.348247,8,2.831028,1.682566
Gorgosaurus libratus,Adult,Trophic.sp,Gorgo main-juv,3.789894,0.952214201605762,0.975814634859389,3.338906,2.338906,4.227277,3.227277,8.912359,9,3.037692,1.742898
Gorgosaurus libratus,Young juvenile,Trophic.sp,Gorgo pack,3.740976,0.591188501460694,0.768887834121918,3.439676,2.439676,4.031562,3.031562,7.432689,7,2.465395,1.570158
Gorgosaurus libratus,Juvenile,Trophic.sp,Gorgo pack,3.677297,0.767594013646094,0.876124428175641,3.304406,2.304406,4.027699,3.027699,8.325144,8,2.928938,1.711414
Gorgosaurus libratus,Adult,Trophic.sp,Gorgo pack,2.9875,0.102670454545455,0.320422306566591,2.783913,1.783913,3.191087,2.191087,2.1486486,2,0.1556831,0.394567
Gorgosaurus libratus,Young juvenile,Trophic.sp,Gorgo pack-juv,3.847806,0.591188501460694,0.768887834121918,3.523133,2.523133,4.172478,3.172478,7.43288,7,2.464491,1.56987
Gorgosaurus libratus,Juvenile,Trophic.sp,Gorgo pack-juv,3.793558,0.849980139259191,0.921943674667379,3.367546,2.367546,4.206874,3.206874,8.325293,8,2.928244,1.711211
Gorgosaurus libratus,Adult,Trophic.sp,Gorgo pack-juv,2.93125,0.144776785714286,0.380495447691935,2.613148,1.613148,3.249352,2.249352,2.1206897,2,0.1430732,0.3782502
