consumer,resource,PATL
Varanus komodoensis Y,Gastrimargus lumbokensis,2
Varanus komodoensis Y,Stenocatanops exinsula,2
Varanus komodoensis Y,Valanga nigricornis,2
Varanus komodoensis Y,Austracris guttulosa,2
Varanus komodoensis Y,Coleoptera (other),2.634362
Varanus komodoensis Y,Gekko gekko,3.206001
Varanus komodoensis Y,Hemidactylus frenatus,3.196336
Varanus komodoensis Y,Hemidactylus platyurus,3.281788
Varanus komodoensis Y,Lepidodactylus intermedius,3.206001
Varanus komodoensis Y,Sphenomorphus florensis,3.247582
Varanus komodoensis J,Carrion,1
Varanus komodoensis J,Asperitas trochus,2.5
Varanus komodoensis J,Bivalvia,2.333333
Varanus komodoensis J,Gastrimargus lumbokensis,2
Varanus komodoensis J,Stenocatanops exinsula,2
Varanus komodoensis J,Valanga nigricornis,2
Varanus komodoensis J,Austracris guttulosa,2
Varanus komodoensis J,Coleoptera (other),2.634362
Varanus komodoensis J,Brachyura,2.5
Varanus komodoensis J,Teleostei,2.964242
Varanus komodoensis J,Gekko gekko,3.206001
Varanus komodoensis J,Hemidactylus frenatus,3.196336
Varanus komodoensis J,Hemidactylus platyurus,3.281788
Varanus komodoensis J,Lepidodactylus intermedius,3.206001
Varanus komodoensis J,Sphenomorphus florensis,3.247582
Varanus komodoensis J,Trimeresurus insularis,4.128814
Varanus komodoensis J,Coelognathus subradiatus,4.067882
Varanus komodoensis J,Dendrelaphis pictus,4.220045
Varanus komodoensis J,Naja naja,4.128814
Varanus komodoensis J,Daboia siamensis,4.128814
Varanus komodoensis J,Eretmochelys imbricata,3.33241
Varanus komodoensis J,Megapodius reinwardt,3.084459
Varanus komodoensis J,Gallus varius,3.209992
Varanus komodoensis J,Geopelia maugeus,2
Varanus komodoensis J,Ducula aenea,2
Varanus komodoensis J,Haliastur indus,3.788552
Varanus komodoensis J,Crocidura sp.,3.224644
Varanus komodoensis J,Hipposideros diadema,3.226697
Varanus komodoensis J,Pteropus vampyrus,2
Varanus komodoensis J,Mus musculus,2.763556
Varanus komodoensis J,Rattus sp.,2.763556
Varanus komodoensis J,Komodomys rintjanus,2.763556
Varanus komodoensis J,Paradoxurus musangus,3.428895
Varanus komodoensis J,?Arctogalidia sp.,3.568229
Varanus komodoensis J C,Carrion,1
Varanus komodoensis J C,Asperitas trochus,2.5
Varanus komodoensis J C,Bivalvia,2.333333
Varanus komodoensis J C,Gastrimargus lumbokensis,2
Varanus komodoensis J C,Stenocatanops exinsula,2
Varanus komodoensis J C,Valanga nigricornis,2
Varanus komodoensis J C,Austracris guttulosa,2
Varanus komodoensis J C,Coleoptera (other),2.634362
Varanus komodoensis J C,Brachyura,2.5
Varanus komodoensis J C,Teleostei,2.964242
Varanus komodoensis J C,Gekko gekko,3.206001
Varanus komodoensis J C,Hemidactylus frenatus,3.196336
Varanus komodoensis J C,Hemidactylus platyurus,3.281788
Varanus komodoensis J C,Lepidodactylus intermedius,3.206001
Varanus komodoensis J C,Sphenomorphus florensis,3.247582
Varanus komodoensis J C,Trimeresurus insularis,4.128814
Varanus komodoensis J C,Coelognathus subradiatus,4.067882
Varanus komodoensis J C,Dendrelaphis pictus,4.220045
