resource,consumer
Detritus,Fungi
Detritus,Demospongiae
Algae,Demospongiae
Branchiopoda,Demospongiae
Branchiopoda,Medusozoa
Detritus,Asperitas trochus
Fungi,Asperitas trochus
Detritus,Bivalvia
Algae,Bivalvia
Branchiopoda,Bivalvia
Detritus,Branchiopoda
Algae,Branchiopoda
Detritus,Diplopoda
Orthoptera,Odonata
Heteroptera,Odonata
Coleoptera,Odonata
Diptera,Odonata
Hymenoptera,Odonata
Lepidoptera,Odonata
Isopoda,Odonata
Detritus,Orthoptera
Plant juices,Orthoptera
Grass and herbs,Orthoptera
Trees and shrubs,Orthoptera
Detritus,Blattodea
Carrion,Blattodea
Trees and shrubs,Blattodea
Roots and tubers,Blattodea
Fungi,Blattodea
Detritus,Isoptera
Grass and herbs,Isoptera
Detritus,Heteroptera
Carrion,Heteroptera
Plant juices,Heteroptera
Fruits and nectar,Heteroptera
Grass and herbs,Heteroptera
Trees and shrubs,Heteroptera
Roots and tubers,Heteroptera
Detritus,Coleoptera
Carrion,Coleoptera
Fruits and nectar,Coleoptera
Grass and herbs,Coleoptera
Trees and shrubs,Coleoptera
Roots and tubers,Coleoptera
Fungi,Coleoptera
Branchiopoda,Coleoptera
Blattodea,Coleoptera
Heteroptera,Coleoptera
Diptera,Coleoptera
Detritus,Diptera
Fruits and nectar,Diptera
Grass and herbs,Diptera
Trees and shrubs,Diptera
Roots and tubers,Diptera
Fungi,Diptera
Detritus,Hymenoptera
Carrion,Hymenoptera
Fruits and nectar,Hymenoptera
Grass and herbs,Hymenoptera
Trees and shrubs,Hymenoptera
Roots and tubers,Hymenoptera
Fungi,Hymenoptera
Coleoptera,Hymenoptera
Diptera,Hymenoptera
Lepidoptera,Hymenoptera
Fruits and nectar,Lepidoptera
Odonata,Araneidae
Orthoptera,Araneidae
Blattodea,Araneidae
Heteroptera,Araneidae
Coleoptera,Araneidae
Diptera,Araneidae
Hymenoptera,Araneidae
Lepidoptera,Araneidae
Detritus,Brachyura
Diplopoda,Brachyura
Detritus,Isopoda
Carrion,Isopoda
Algae,Isopoda
Trees and shrubs,Isopoda
Fungi,Isopoda
Detritus,Teleostei
Demospongiae,Teleostei
Branchiopoda,Teleostei
Heteroptera,Teleostei
Coleoptera,Teleostei
Carrion,Anura
Algae,Anura
Odonata,Anura
Orthoptera,Anura
Blattodea,Anura
Coleoptera,Anura
Diptera,Anura
Hymenoptera,Anura
Lepidoptera,Anura
Araneidae,Anura
Odonata,Gekko gekko
