node,1,2,3,4,5,6,7,8,9,10,11,12
Detritus,0,0,0,0,0,0,0,0,0,0,0,0
Carrion,0,0,0,0,0,0,0,0,0,0,0,0
Algae,0,0,0,0,0,0,0,0,0,0,0,0
Plant juices,0,0,0,0,0,0,0,0,0,0,0,0
Grains and seeds,0,0,0,0,0,0,0,0,0,0,0,0
Fruits and nectar,0,0,0,0,0,0,0,0,0,0,0,0
Grass and herbs,0,0,0,0,0,0,0,0,0,0,0,0
Trees and shrubs,0,0,0,0,0,0,0,0,0,0,0,0
Roots and tubers,0,0,0,0,0,0,0,0,0,0,0,0
Fungi,8110,0,0,0,0,0,0,0,0,0,0,0
Demospongiae,30,30,0,0,0,0,0,0,0,0,0,0
Medusozoa,0,8,0,0,0,0,0,0,0,0,0,0
Asperitas trochus,10,10,0,0,0,0,0,0,0,0,0,0
Bivalvia,14,14,0,0,0,0,0,0,0,0,0,0
Branchiopoda,3384,0,0,0,0,0,0,0,0,0,0,0
Diplopoda,102,0,0,0,0,0,0,0,0,0,0,0
Odonata,0,11022,11356,7348,668,0,0,0,0,0,0,0
Orthoptera,3372,0,0,0,0,0,0,0,0,0,0,0
Blattodea,8556,2139,0,0,0,0,0,0,0,0,0,0
Isoptera,494,0,0,0,0,0,0,0,0,0,0,0
Heteroptera,16695,0,0,0,0,0,0,0,0,0,0,0
Coleoptera,9930,31445,3310,0,0,0,0,0,0,0,0,0
Diptera,15360,3072,0,0,0,0,0,0,0,0,0,0
Hymenoptera,4818,10439,16060,1606,0,0,0,0,0,0,0,0
Lepidoptera,1474,0,0,0,0,0,0,0,0,0,0,0
Araneidae,0,5808,11792,9856,4224,352,0,0,0,0,0,0
Brachyura,15,15,0,0,0,0,0,0,0,0,0,0
Isopoda,1708,427,0,0,0,0,0,0,0,0,0,0
Teleostei,11,187,231,22,0,0,0,0,0,0,0,0
Anura,72,936,3600,4428,2880,936,72,0,0,0,0,0
Gekko gekko,0,1770,3894,3304,1416,118,0,0,0,0,0,0
Hemidactylus spp.,59,1770,5841,7257,4720,1534,118,0,0,0,0,0
Sphenomorphus melanopogon,0,2652,4624,6052,3944,1632,136,0,0,0,0,0
Coelognathus subradiatus,0,169,2197,5187,5655,3198,1014,78,0,0,0,0
Dendrelaphis pictus,0,39,1625,4329,5083,3146,1014,78,0,0,0,0
Daboia siamensis,0,39,540,1551,2010,1542,720,174,12,0,0,0
Eretmochelys imbricata,4,20,92,84,8,0,0,0,0,0,0,0
Megapodius reinwardt,16,120,484,816,936,560,200,16,0,0,0,0
Gallus varius,12,104,304,1456,3284,3536,2048,632,48,0,0,0
Doves,10,0,0,0,0,0,0,0,0,0,0,0
Corvus macrorhynchos,5,28,66,68,44,4,0,0,0,0,0,0
Haliastur indus,3,51,660,2595,4413,4188,2256,648,48,0,0,0
Icthyophaga leucogaster,1,15,134,600,1148,1198,678,210,16,0,0,0
Crocidura sp.,0,256,536,712,464,192,16,0,0,0,0,0
Hipposideros diadema,0,140,330,445,290,120,10,0,0,0,0,0
Pteropus vampyrus,6,0,0,0,0,0,0,0,0,0,0,0
Mus musculus,145,638,957,638,58,0,0,0,0,0,0,0
Rats,135,594,891,594,54,0,0,0,0,0,0,0
Macaca fascicularis,6,74,70,44,4,0,0,0,0,0,0,0
Paradoxurus musangus,9,90,624,1458,1908,1476,714,174,12,0,0,0
?Arctogalidia sp.,3,87,621,1458,1908,1476,714,174,12,0,0,0
Sus scrofa,8,24,94,828,1934,2188,1300,416,32,0,0,0
Cervus timorensis,6,0,0,0,0,0,0,0,0,0,0,0
Bubalis bubalis,4,0,0,0,0,0,0,0,0,0,0,0
Varanus komodoensis Y,0,209,2242,4465,5092,3078,988,76,0,0,0,0
Varanus komodoensis J,2,84,840,3804,8804,11692,9336,4492,1136,80,0,0
Varanus komodoensis S,1,42,332,2036,6294,10939,11508,7556,3022,624,40,0
Varanus komodoensis A,1,22,205,1172,5198,12990,19065,17440,10176,3618,664,40
