resource,consumer
Detritus,Fungi
Detritus,Demospongiae
Algae,Demospongiae
Branchiopoda,Demospongiae
Branchiopoda,Medusozoa
Detritus,Asperitas trochus
Fungi,Asperitas trochus
Detritus,Bivalvia
Algae,Bivalvia
Branchiopoda,Bivalvia
Detritus,Branchiopoda
Algae,Branchiopoda
Detritus,Diplopoda
Gastrimargus lumbokensis,Odonata
Stenocatanops exinsula,Odonata
Valanga nigricornis,Odonata
Austracris guttulosa,Odonata
Heteroptera,Odonata
Coleoptera (other),Odonata
Diptera,Odonata
Hymenoptera,Odonata
Lepidoptera,Odonata
Isopoda,Odonata
Detritus,Gastrimargus lumbokensis
Plant juices,Gastrimargus lumbokensis
Grass and herbs,Gastrimargus lumbokensis
Trees and shrubs,Gastrimargus lumbokensis
Detritus,Stenocatanops exinsula
Plant juices,Stenocatanops exinsula
Grass and herbs,Stenocatanops exinsula
Trees and shrubs,Stenocatanops exinsula
Detritus,Valanga nigricornis
Plant juices,Valanga nigricornis
Grass and herbs,Valanga nigricornis
Trees and shrubs,Valanga nigricornis
Detritus,Austracris guttulosa
Plant juices,Austracris guttulosa
Grass and herbs,Austracris guttulosa
Trees and shrubs,Austracris guttulosa
Detritus,Blattodea
Carrion,Blattodea
Trees and shrubs,Blattodea
Roots and tubers,Blattodea
Fungi,Blattodea
Detritus,Isoptera
Grass and herbs,Isoptera
Detritus,Heteroptera
Carrion,Heteroptera
Plant juices,Heteroptera
Fruits and nectar,Heteroptera
Grass and herbs,Heteroptera
Trees and shrubs,Heteroptera
Roots and tubers,Heteroptera
Detritus,Trox sp.
Carrion,Trox sp.
Detritus,Scarabidae indet
Carrion,Scarabidae indet
Detritus,Coleoptera (other)
Carrion,Coleoptera (other)
Fruits and nectar,Coleoptera (other)
Grass and herbs,Coleoptera (other)
Trees and shrubs,Coleoptera (other)
Roots and tubers,Coleoptera (other)
Fungi,Coleoptera (other)
Branchiopoda,Coleoptera (other)
Blattodea,Coleoptera (other)
Heteroptera,Coleoptera (other)
Diptera,Coleoptera (other)
Hymenoptera,Coleoptera (other)
Detritus,Diptera
Fruits and nectar,Diptera
Grass and herbs,Diptera
Trees and shrubs,Diptera
Roots and tubers,Diptera
Fungi,Diptera
Heteroptera,Diptera
Trox sp.,Diptera
Scarabidae indet,Diptera
Coleoptera (other),Diptera
Hymenoptera,Diptera
Araneidae,Diptera
Detritus,Hymenoptera
Carrion,Hymenoptera
Fruits and nectar,Hymenoptera
Grass and herbs,Hymenoptera
