node,1,2,3,4,5,6,7,8,9,10,11
Detritus,0,0,0,0,0,0,0,0,0,0,0
Carrion,0,0,0,0,0,0,0,0,0,0,0
Algae,0,0,0,0,0,0,0,0,0,0,0
Plant juices,0,0,0,0,0,0,0,0,0,0,0
Grains and seeds,0,0,0,0,0,0,0,0,0,0,0
Fruits and nectar,0,0,0,0,0,0,0,0,0,0,0
Grass and herbs,0,0,0,0,0,0,0,0,0,0,0
Trees and shrubs,0,0,0,0,0,0,0,0,0,0,0
Roots and tubers,0,0,0,0,0,0,0,0,0,0,0
Fungi,28343,0,0,0,0,0,0,0,0,0,0
Demospongiae,22,22,0,0,0,0,0,0,0,0,0
Medusozoa,0,6,0,0,0,0,0,0,0,0,0
Asperitas trochus,7,7,0,0,0,0,0,0,0,0,0
Bivalvia,10,10,0,0,0,0,0,0,0,0,0
Branchiopoda,12186,0,0,0,0,0,0,0,0,0,0
Diplopoda,81,0,0,0,0,0,0,0,0,0,0
Odonata,0,69218,39670,53295,52176,25014,904,0,0,0,0
Gastrimargus lumbokensis,21340,0,0,0,0,0,0,0,0,0,0
Stenocatanops exinsula,21340,0,0,0,0,0,0,0,0,0,0
Valanga nigricornis,21340,0,0,0,0,0,0,0,0,0,0
Austracris guttulosa,21340,0,0,0,0,0,0,0,0,0,0
Blattodea,37448,9362,0,0,0,0,0,0,0,0,0
Isoptera,648,0,0,0,0,0,0,0,0,0,0
Heteroptera,111405,0,0,0,0,0,0,0,0,0,0
Trox sp.,28234,0,0,0,0,0,0,0,0,0,0
Scarabidae indet,28234,0,0,0,0,0,0,0,0,0,0
Coleoptera (other),36396,107343,53326,60568,48563,14915,398,0,0,0,0
Diptera,23170,75738,140204,90677,19629,2479,86,0,0,0,0
Hymenoptera,37062,59259,63087,69473,52598,17095,722,0,0,0,0
Lepidoptera,11349,0,0,0,0,0,0,0,0,0,0
Araneidae,0,107808,96458,50477,33829,13006,380,0,0,0,0
Brachyura,12,12,0,0,0,0,0,0,0,0,0
Isopoda,8372,2093,0,0,0,0,0,0,0,0,0
Teleostei,8,168,216,240,448,584,288,8,0,0,0
Anura,62,1302,4991,9982,16244,17050,8680,310,0,0,0
Gekko gekko,0,2208,4224,6432,12672,15840,9120,336,0,0,0
Hemidactylus frenatus,48,2208,6576,11808,20640,23760,12384,432,0,0,0
Hemidactylus platyurus,0,2208,6576,11808,20640,23760,12384,432,0,0,0
Lepidodactylus intermedius,0,2208,4224,6432,12672,15840,9120,336,0,0,0
Sphenomorphus melanopogon,0,3025,6435,14025,20955,20625,9405,330,0,0,0
Trimeresurus insularis,0,36,836,2242,4270,7454,9764,7302,2250,76,0
Coelognathus subradiatus,0,180,3950,8570,15380,26560,30400,15900,570,0,0
Dendrelaphis pictus,0,30,2810,7280,13370,22930,25750,13470,480,0,0
Naja sputatrix,0,36,836,2242,4270,7454,9764,7302,2250,76,0
Daboia siamensis,0,36,836,2242,4270,7454,9764,7302,2250,76,0
Eretmochelys imbricata,3,15,81,81,90,168,219,108,3,0,0
Megapodius reinwardt,12,138,513,1125,2328,3459,3210,1368,48,0,0
Gallus varius,9,126,309,2469,5688,9987,16080,17361,8829,315,0
Geopelia maugeus,8,0,0,0,0,0,0,0,0,0,0
Ducula aenea,8,0,0,0,0,0,0,0,0,0,0
Corvus macrorhynchos,5,39,142,159,257,436,501,244,9,0,0
Haliastur indus,2,58,858,3660,7590,13406,19828,18578,8124,286,0
Icthyophaga leucogaster,1,22,236,1312,2760,4882,7985,8546,4262,152,0
Crocidura sp.,0,240,465,895,1435,1600,745,25,0,0,0
Hipposideros diadema,0,132,276,537,861,960,447,15,0,0,0
Pteropus vampyrus,4,0,0,0,0,0,0,0,0,0,0
Mus musculus,125,950,1075,1675,3025,3875,2025,75,0,0,0
Rattus sp.,120,912,1032,1608,2904,3720,1944,72,0,0,0
Komodomys rintjanus,120,912,1032,1608,2904,3720,1944,72,0,0,0
Macaca fascicularis,6,106,90,134,242,310,162,6,0,0,0
Paradoxurus musangus,6,102,904,2166,4096,7126,9376,7042,2240,76,0
?Arctogalidia sp.,2,100,902,2166,4096,7126,9376,7042,2240,76,0
Sus scrofa,8,56,140,1940,4476,8038,13654,15354,8010,286,0
Cervus timorensis,6,0,0,0,0,0,0,0,0,0,0
Bubalis bubalis,4,0,0,0,0,0,0,0,0,0,0
Varanus komodoensis Y,0,345,3960,8955,16065,27630,30915,16020,570,0,0
Varanus komodoensis J,1,61,793,4501,11829,22708,37736,47699,36558,12742,438
Varanus komodoensis S,1,48,517,3834,11437,22651,39209,53241,44190,16747,581
Varanus komodoensis A,1,20,174,416,2262,5061,8712,13411,13959,6965,248
