node,name,ID,Higher-level.taxon,Resolved.to,Trophic.role,Habitat,M
Detritus,Detritus,1,NA,NA,organics,NA,NA
Carrion,Carrion,2,NA,NA,organics,NA,NA
Algae,Algae,3,Plantae,NA,autotroph,Aquatic,NA
Plant juices,Plant juices,4,Plantae,NA,organics,Terrestrial,NA
Grains and seeds,Grains and seeds,5,Plantae,NA,organics,Terrestrial,NA
Fruits and nectar,Fruits and nectar,6,Plantae,NA,organics,Terrestrial,NA
Grass and herbs,Grass and herbs,7,Plantae,NA,autotroph,Terrestrial,NA
Trees and shrubs,Trees and shrubs,8,Plantae,NA,autotroph,Terrestrial,NA
Roots and tubers,Roots and tubers,9,Plantae,NA,autotroph,Terrestrial,NA
Fungi,Fungi,10,Myceteae,kingdom,saprobe,Terrestrial,NA
Demospongiae,Sponges,11,Demospongiae,class,omnivore,Aquatic,NA
Medusozoa,Jellyfish,12,Medusozoa,subphylum,carnivore,Aquatic,NA
Asperitas trochus,Land snail,13,Gastropoda,species,omnivore,Terrestrial,NA
Bivalvia,Bivalves,14,Bivalvia,class,omnivore,Aquatic,NA
Branchiopoda,Branchiopods,15,Crustacea,class,omnivore,Aquatic,NA
Diplopoda,Millipedes,16,Myriapoda,class,detritivore,Terrestrial,0.00075
Odonata,Dragonflies,17,Insecta,order,invertivore,Terrestrial,0.0003673
Gastrimargus lumbokensis,Cricket,18,Insecta,order,herbivore,Terrestrial,0.0038951
Stenocatanops exinsula,Cricket,19,Insecta,order,herbivore,Terrestrial,0.0038951
Valanga nigricornis,Cricket,20,Insecta,order,herbivore,Terrestrial,0.0038951
Austracris guttulosa,Cricket,21,Insecta,order,herbivore,Terrestrial,0.0038951
Blattodea,Cockroaches,22,Insecta,order,detritivore,Terrestrial,0.005
Isoptera,Termites,23,Insecta,infraorder,detritivore,Terrestrial,0.0000075
Heteroptera,Herbivorous true bugs,24,Insecta,suborder,herbivore,Terrestrial,0.00026153
Trox sp.,Carrion beetle,25,Insecta,genus,detritivore,Terrestrial,NA
Scarabidae indet,Carrion beetle,26,Insecta,family,detritivore,Terrestrial,NA
Coleoptera (other),Beetles,27,Insecta,order,omnivore,Terrestrial,0.00017
Diptera,Flies,28,Insecta,order,omnivore,Terrestrial,0.00016517
Hymenoptera,Wasps,29,Insecta,order,omnivore,Terrestrial,0.001665
Lepidoptera,Butterflies,30,Insecta,order,herbivore,Terrestrial,0.00091
Araneidae,Spiders,31,Arachnida,family,invertivore,Terrestrial,0.0051086
Brachyura,Crabs,32,Crustacea,infraorder,invertivore,Both/amphibious,NA
Isopoda,Isopods,33,Crustacea,order,omnivore,Both/amphibious,NA
Teleostei,Fishes,34,Osteichthyes,division,carnivore,Aquatic,NA
Anura,Frogs,35,Amphibia,order,omnivore,Aquatic,0.1
Gekko gekko,Tokay gecko,36,Lacertilia,species,invertivore,Terrestrial,0.054
Hemidactylus frenatus,Common house gecko,37,Lacertilia,species,omnivore,Terrestrial,0.0033
Hemidactylus platyurus,Flat-tailed house gecko,38,Lacertilia,species,invertivore,Terrestrial,0.0038
Lepidodactylus intermedius,Scaly-toed gecko,39,Lacertilia,species,invertivore,Terrestrial,NA
Sphenomorphus melanopogon,Lesser Sunda dark-throated skink,40,Lacertilia,species,invertivore,Terrestrial,NA
Trimeresurus insularis,White-lipped pit viper,41,Ophidia,species,carnivore,Terrestrial,0.4145
Coelognathus subradiatus,Indonesian ratsnake,42,Ophidia,species,carnivore,Terrestrial,0.015
Dendrelaphis pictus,Common bronzeback,43,Ophidia,species,carnivore,Terrestrial,1.13
Naja sputatrix,Indonesian cobra,44,Ophidia,species,carnivore,Terrestrial,NA
Daboia siamensis,Siamese Russell’s viper,45,Ophidia,species,carnivore,Terrestrial,1.306
Eretmochelys imbricata,Hawksbill sea turtle,46,Testudines,species,omnivore,Aquatic,67
Megapodius reinwardt,Orange-footed scrubfowl,47,Aves,species,omnivore,Terrestrial,0.6964
Gallus varius,Green junglefowl,48,Aves,species,omnivore,Terrestrial,0.683
