resource,consumer
Decaying material,Thripidae
Plant juices,Thripidae
Decaying material,Coleoptera
Thripidae,Coleoptera
Hodotermes sp.,Coleoptera
Diptera,Coleoptera
Gryllidae,Coleoptera
Heteroptera,Coleoptera
Blattodea,Coleoptera
Coleoptera,Araneidae
Formicidae,Araneidae
Diptera,Araneidae
Heteroptera,Araneidae
Mantidae,Araneidae
Decaying material,Formicidae
Trees and shrubs,Formicidae
Hodotermes sp.,Formicidae
Decaying material,Hodotermes sp.
Grass and herbs,Hodotermes sp.
Decaying material,Diptera
Fruits and nectar,Diptera
Decaying material,Gryllidae
Plant juices,Gryllidae
Grass and herbs,Gryllidae
Trees and shrubs,Gryllidae
Plant juices,Heteroptera
Decaying material,Tettigoniidae
Fruits and nectar,Tettigoniidae
Grains and seeds,Tettigoniidae
Diptera,Tettigoniidae
Gryllidae,Tettigoniidae
Heteroptera,Tettigoniidae
Diplopoda,Tettigoniidae
Araneidae,Mantidae
Diptera,Mantidae
Gryllidae,Mantidae
Heteroptera,Mantidae
Thripidae,Chilopoda
Gryllidae,Chilopoda
Blattodea,Chilopoda
Diplopoda,Chilopoda
Crocidura sp. ,Chilopoda
Rhabdomys pumilio,Chilopoda
Steatomys pratensis,Chilopoda
Decaying material,Blattodea
Coleoptera,Phrynobatrachus mababiensis
Araneidae,Phrynobatrachus mababiensis
Formicidae,Phrynobatrachus mababiensis
Hodotermes sp.,Phrynobatrachus mababiensis
Diptera,Phrynobatrachus mababiensis
Gryllidae,Phrynobatrachus mababiensis
Decaying material,Diplopoda
Fruits and nectar,Diplopoda
Coleoptera,Crocidura sp. 
Araneidae,Crocidura sp. 
Formicidae,Crocidura sp. 
Gryllidae,Crocidura sp. 
Heteroptera,Crocidura sp. 
Diplopoda,Crocidura sp. 
Diptera,Pipistrellus nanus
Araneidae,Scorpiones
Diptera,Scorpiones
Heteroptera,Scorpiones
Coleoptera,Empidonax wrightii
Formicidae,Empidonax wrightii
Hodotermes sp.,Empidonax wrightii
Diptera,Empidonax wrightii
Gryllidae,Empidonax wrightii
Diplopoda,Empidonax wrightii
Fruits and nectar,Apalis flavida
Grains and seeds,Apalis flavida
Coleoptera,Apalis flavida
Araneidae,Apalis flavida
Formicidae,Apalis flavida
Hodotermes sp.,Apalis flavida
Diptera,Apalis flavida
Gryllidae,Apalis flavida
Heteroptera,Apalis flavida
Tettigoniidae,Apalis flavida
Lygodactylus capensis,Apalis flavida
Fruits and nectar,Eremomela icteropygialis
Grains and seeds,Eremomela icteropygialis
Coleoptera,Eremomela icteropygialis
Araneidae,Eremomela icteropygialis
Formicidae,Eremomela icteropygialis
Hodotermes sp.,Eremomela icteropygialis
Diptera,Eremomela icteropygialis
Gryllidae,Eremomela icteropygialis
Heteroptera,Eremomela icteropygialis
Tettigoniidae,Eremomela icteropygialis
Mantidae,Eremomela icteropygialis
Phrynobatrachus mababiensis,Eremomela icteropygialis
Apalis flavida,Eremomela icteropygialis
Lygodactylus capensis,Eremomela icteropygialis
Fruits and nectar,Sylvietta whytii
Grains and seeds,Sylvietta whytii
Coleoptera,Charadrius tricollaris
Araneidae,Charadrius tricollaris
Diptera,Charadrius tricollaris
Gryllidae,Charadrius tricollaris
Heteroptera,Charadrius tricollaris
Diplopoda,Charadrius tricollaris
Decapoda,Charadrius tricollaris
Fruits and nectar,Micropteropus pusillus
Grass and herbs,Rhabdomys pumilio
Trees and shrubs,Rhabdomys pumilio
Decaying material,Steatomys pratensis
Fruits and nectar,Steatomys pratensis
Grains and seeds,Steatomys pratensis
Grass and herbs,Steatomys pratensis
Trees and shrubs,Steatomys pratensis
Coleoptera,Steatomys pratensis
Formicidae,Steatomys pratensis
Hodotermes sp.,Steatomys pratensis
Gryllidae,Steatomys pratensis
Blattodea,Steatomys pratensis
Decaying material,Xenopus muelleri
Coleoptera,Xenopus muelleri
Araneidae,Xenopus muelleri
Gryllidae,Xenopus muelleri
Tettigoniidae,Xenopus muelleri
Phrynobatrachus mababiensis,Xenopus muelleri
Perciformes,Xenopus muelleri
Fruits and nectar,Anas capensis
Grains and seeds,Anas capensis
Trees and shrubs,Anas capensis
Formicidae,Anas capensis
Gryllidae,Anas capensis
Diplopoda,Anas capensis
Araneidae,Lygodactylus capensis
Formicidae,Lygodactylus capensis
Diptera,Lygodactylus capensis
Gryllidae,Lygodactylus capensis
Heteroptera,Lygodactylus capensis
Decaying material,Decapoda
Diplopoda,Decapoda
Decaying material,Pelomys fallax
Coleoptera,Pelomys fallax
Araneidae,Pelomys fallax
Formicidae,Pelomys fallax
Hodotermes sp.,Pelomys fallax
Gryllidae,Pelomys fallax
Chilopoda,Pelomys fallax
Blattodea,Pelomys fallax
Diplopoda,Pelomys fallax
Decaying material,Perciformes
Phrynobatrachus mababiensis,Psammophis angolensis
