node,1,2,3,4,5,6,7,8,9,10,11,12
Decaying material,0,0,0,0,0,0,0,0,0,0,0,0
Plant juices,0,0,0,0,0,0,0,0,0,0,0,0
Fruits and nectar,0,0,0,0,0,0,0,0,0,0,0,0
Grains and seeds,0,0,0,0,0,0,0,0,0,0,0,0
Grass and herbs,0,0,0,0,0,0,0,0,0,0,0,0
Trees and shrubs,0,0,0,0,0,0,0,0,0,0,0,0
Thripidae,4098,0,0,0,0,0,0,0,0,0,0,0
Coleoptera,2044,24528,0,0,0,0,0,0,0,0,0,0
Araneidae,0,7116,24080,0,0,0,0,0,0,0,0,0
Formicidae,5022,5022,0,0,0,0,0,0,0,0,0,0
Hodotermes sp.,10754,0,0,0,0,0,0,0,0,0,0,0
Diptera,11542,0,0,0,0,0,0,0,0,0,0,0
Gryllidae,19736,0,0,0,0,0,0,0,0,0,0,0
Heteroptera,5493,0,0,0,0,0,0,0,0,0,0,0
Tettigoniidae,1032,3096,0,0,0,0,0,0,0,0,0,0
Mantidae,0,8302,708,1652,0,0,0,0,0,0,0,0
Chilopoda,0,80,100,170,105,0,0,0,0,0,0,0
Blattodea,2227,0,0,0,0,0,0,0,0,0,0,0
Phrynobatrachus mababiensis,0,3168,5760,6048,0,0,0,0,0,0,0,0
Diplopoda,1200,0,0,0,0,0,0,0,0,0,0,0
Crocidura sp.,0,220,440,462,0,0,0,0,0,0,0,0
Pipistrellus nanus,0,2,0,0,0,0,0,0,0,0,0,0
Scorpiones,0,15,30,105,0,0,0,0,0,0,0,0
Empidonax wrightii,0,26,28,0,0,0,0,0,0,0,0,0
Apalis flavida,356,2670,6764,5162,3738,0,0,0,0,0,0,0
Eremomela icteropygialis,236,2006,8378,10974,10030,2478,0,0,0,0,0,0
Sylvietta whytii,116,0,0,0,0,0,0,0,0,0,0,0
Charadrius tricollaris,0,99,180,189,0,0,0,0,0,0,0,0
Micropteropus pusillus,1,0,0,0,0,0,0,0,0,0,0,0
Rhabdomys pumilio,340,0,0,0,0,0,0,0,0,0,0,0
Steatomys pratensis,865,1730,2422,0,0,0,0,0,0,0,0,0
Xenopus muelleri,28,252,1064,1148,588,0,0,0,0,0,0,0
Anas capensis,261,696,174,0,0,0,0,0,0,0,0,0
Lygodactylus capensis,0,3573,3176,8337,0,0,0,0,0,0,0,0
Decapoda,36,72,0,0,0,0,0,0,0,0,0,0
Pelomys fallax,2,24,72,82,68,42,0,0,0,0,0,0
Perciformes,115,0,0,0,0,0,0,0,0,0,0,0
Psammophis angolensis,0,510,2554,7371,10098,8927,4039,588,0,0,0,0
Glaucidium perlatum,0,28,160,373,615,663,490,233,42,0,0,0
Pterocles gutturalis,1,0,0,0,0,0,0,0,0,0,0,0
Poecilogale albinucha,0,14,50,125,122,106,21,0,0,0,0,0
Pedetes capensis,4,8,0,0,0,0,0,0,0,0,0,0
Tockus nasutus epirhinus,6,32,96,86,42,0,0,0,0,0,0,0
Francolinus coqui,1,2,0,0,0,0,0,0,0,0,0,0
Rhamphiophis oxyrhynchus,0,1122,3902,8677,10779,8028,3026,483,0,0,0,0
Atelerix albiventris,3,36,114,165,63,0,0,0,0,0,0,0
Tachybaptus ruficollis,0,45,219,480,843,864,747,381,63,0,0,0
Eupodottis senegalensis,20,170,890,2050,4100,5360,4690,2330,420,0,0,0
Heterohyrax brucei,20,0,0,0,0,0,0,0,0,0,0,0
Procavia johnstoni,18,0,0,0,0,0,0,0,0,0,0,0
Asio capensis,0,30,284,968,2080,3402,4061,3551,2124,676,84,0
Helogale parvula,1,36,157,408,752,1022,1026,702,275,42,0,0
Necrosyrtes monachus,0,26,107,357,703,1110,1220,959,466,84,0,0
Pronolagus rupestris,32,0,0,0,0,0,0,0,0,0,0,0
Haliaeetus vocifer,0,14,118,353,602,661,490,233,42,0,0,0
Otolemur crassicaudatus,9,57,168,285,342,255,63,0,0,0,0,0
Leptoptilos crumeniferus,0,21,89,236,451,557,469,233,42,0,0,0
Bucorvus leadbeateri,0,66,348,882,1575,2094,2052,1470,699,126,0,0
Otocyon megalotis,0,46,212,700,1484,2104,2052,1404,550,84,0,0
Lutra maculicollis,0,16,16,0,0,0,0,0,0,0,0,0
Psammobates pardalis,16,80,344,528,664,168,0,0,0,0,0,0
Gyps africanus,1,0,0,0,0,0,0,0,0,0,0,0
Gyps rueppellii,0,15,55,115,135,85,21,0,0,0,0,0
Varanus niloticus,0,21,71,134,239,288,249,127,21,0,0,0
Ardeotis kori,7,0,63,56,147,0,0,0,0,0,0,0
Colobus guereza,24,16,0,0,0,0,0,0,0,0,0,0
Canis mesomelas,1,36,160,521,987,1373,1314,951,402,63,0,0
Canis aureus,1,45,160,521,987,1373,1314,951,402,63,0,0
Smutsia temminckii,0,11,12,14,0,0,0,0,0,0,0,0
Leptailurus serval,1,22,56,173,403,677,785,596,254,42,0,0
Aonyx capensis,1,17,58,163,171,125,21,0,0,0,0,0
Caracal caracal,1,19,14,14,0,0,0,0,0,0,0,0
Papio anubis,18,24,0,0,0,0,0,0,0,0,0,0
