Fauna,Species,Name,Group,Ont.stage,M.kg,Rank M
Serengeti National Park,Loxodonta africana,African elephant,H mammal,Adult,3940,1
Serengeti National Park,Hippopotamus amphibius,Hippopotamus,H mammal,Adult,1536.31,2
Serengeti National Park,Diceros bicornis,Black rhinoceros,H mammal,Adult,1180.51,3
Serengeti National Park,Giraffa camelopardalis,Maasai giraffe,H mammal,Adult,964.65,4
Serengeti National Park,Syncerus caffer,Cape buffalo,H mammal,Adult,592.67,5
Serengeti National Park,Taurotragus oryx,Common eland,H mammal,Adult,570,6
Serengeti National Park,Equus burchelli,Burchell’s zebra,H mammal,Adult,400,7
Serengeti National Park,Hippotragus equinus,Roan antelope,H mammal,Adult,264.174,8
Serengeti National Park,Kobus ellipsiprymnus,Waterbuck,H mammal,Adult,210,9
Serengeti National Park,Connochaetes taurinus,Brindled gnu (common wildebeest),H mammal,Adult,180,10
Serengeti National Park,Panthera leo,Lion,C mammal,Adult,161.5,11
Serengeti National Park,Alcelaphus buselaphus,Kongoni,H mammal,Adult,160.94,12
Serengeti National Park,Struthio camelus,Ostrich,O plant dinosaur,Adult,145,13
Serengeti National Park,Damaliscus lunatus,Topi,H mammal,Adult,127.19,14
Serengeti National Park,Potamochoerus porcus,Bushpig,O mammal,Adult,97.5,15
Serengeti National Park,Tragelaphus imberbis,Lesser kudu,H mammal,Adult,94.32,16
Serengeti National Park,Phacochoerus africanus,Common warthog,O mammal,Adult,82.5,17
Serengeti National Park,Panthera leo J,Lion (juvenile),C mammal,Juvenile,66,18
Serengeti National Park,Crocuta crocuta,Spotted hyena,C mammal,Adult,63.37,19
Serengeti National Park,Redunca redunca,Bohor reedbuck,H mammal,Adult,58.06,20
Serengeti National Park,Orycteropus afer,Aardvark,C inv mammal,Adult,56.175,21
Serengeti National Park,Panthera pardus,Leopard,C mammal,Adult,55,22
Serengeti National Park,Gazella granti,Grant’s gazelle,H mammal,Adult,55,23
Serengeti National Park,Aepyceros melampus,Impala,H mammal,Adult,52.59,24
Serengeti National Park,Acinonyx jubatus,Cheetah,C mammal,Adult,50.58,25
Serengeti National Park,Tragelaphus scriptus,Bushbuck,H mammal,Adult,43.25,26
Serengeti National Park,Hyaena hyaena,Striped hyena,C mammal,Adult,35.07,27
