Locality,Locality_type,Sternberg_Map_No,Latitude,Longitude,UTM_East,UTM_North,Elevation_MASL,Locality_no,Formation,Elevation_TMP_DEM,Reference_Oldman_contact,Contact_elev_TMP_DEM,Height_Oldman_DPF,Height_PT,Height_LCZ,Strat_unit,Within_DPP,Within_DPP_vicinity,Within_map,Within_bonebed,Identification,Discovered_by,Date_discovered,Staked,Date_staked,Last_date_checked,References
BB001,BB,,50.7472186206,-111.488447777,465541.407,5621829.422,695.29,,DPF,695.293273925781,Contact 217,662.5041,32.789173925781,,,DPF4,Y,Y,Y,,Mixed faunal Class D,,1980-08-05,N,,2001-10-18,
BB002,BB,,50.7470284109,-111.4887718079,465515.819,5621807.448,690.87,,DPF,690.677001953125,Contact 217,662.5041,28.172901953125,,,DPF3,Y,Y,Y,,Mixed faunal Class D,J. Danis,1980-08-05,N,,2001-10-18,
BB003,BB,,50.7463337248,-111.4893031923,465478.624,5621731.02,695.13,,DPF,695.079162597656,Contact 217,662.5041,32.575062597656,,,DPF4,Y,Y,Y,,Mixed faunal Class C,P. J. Currie,1980-08-01,N,,2001-10-18,
BB004,BB,,50.7467782322,-111.4905268133,465392.937,5621780.508,693.94,,DPF,693.47314453125,Contact 217,662.5041,30.96904453125,,,DPF3,Y,Y,Y,,Mixed faunal Class C,P. J. Currie,1980-08-05,N,,2001-10-18,
BB005,BB,,50.7486103296,-111.4889725525,465504,5621984,673.985,,DPF,673.469970703125,Contact 217,662.5041,10.965870703125,,,DPF2,Y,Y,Y,,Mixed faunal Class B,P. J. Currie,1980-08-30,N,,2002-05-18,
BB005A,BB,,50.7488360943,-111.488748106,465520,5622009,673.178,,DPF,673.196350097656,Contact 217,662.5041,10.692250097656,,,DPF1,Y,Y,Y,,Mixed faunal Class B,P. Dodson,1980-07-31,N,,2002-05-15,
BB006,BB,,50.762501417,-111.4722442761,466694,5623521,670.54,,DPF,670.491271972656,Contact 167,663.8688,6.62247197265606,,,DPF1,Y,Y,Y,,Microsite (Class D BB),P. J. Currie,1980-08-06,N,,2001-10-16,
BB007,BB,,50.7624973367,-111.4732509452,466623,5623521,663.88,,DPF,663.782409667969,Contact 167,663.8688,0.5,,,DPF1,Y,Y,Y,,Microsite (Class D BB),J. Danis,,N,,2001-10-16,
BB008,BB,,50.8196067194,-111.5743947387,459539,5629922,680.359,,DPF,680.496398925781,Contact 017,648.4369,32.059498925781,,,DPF4,Y,Y,Y,,Mixed faunal Class A,P. J. Currie,1980-08-16,N,,2003-05-21,
BB009,BB,,50.7432755292,-111.4915815538,465316,5621392,690.44,,DPF,690.70166015625,Contact 201,670.5576,20.14406015625,,,DPF2,Y,Y,Y,,Mixed faunal Class B,D. Tanke,1980-08-01,N,,2002-05-13,
BB009A,BB,,50.7415606938003,-111.490911655148,465362,5621201,,,DPF,690.13671875,Contact 201,670.5576,19.57911875,,,,,Y,,,Mixed faunal Class B,,,,,,
BB010,BB,,50.7453926023,-111.4906965951,465380,5621627,692.039,West Cathedral Ridge BB,DPF,691.76123046875,Contact 217,662.5041,29.25713046875,,,DPF3,Y,Y,Y,,Mixed faunal Class B/C,P. J. Currie,1980-08-17,N,,2002-05-18,
BB010A,BB,,50.7451146068104,-111.490509430292,465393,5621596,,West Cathedral Ridge BB,DPF,697.070556640625,Contact 217,662.5041,34.566456640625,,,DPF3,Y,Y,Y,,Axestemys sp incomplete skull ex situ,,,,,,
BB011,BB,,50.7528036813,-111.4818573121,466009,5622447,669.915,,DPF,669.869384765625,Contact 218,665.7163,4.15308476562495,,,DPF1,Y,Y,Y,,Mixed faunal Class C,P. J. Currie,1980-08-17,N,,2002-05-15,
BB012,BB,,50.7498567182,-111.4833721556,465972,5622197,676.881,,DPF,676.211791992188,Contact 223,663.111,13.100791992188,,,DPF2,Y,Y,Y,,Mixed faunal Class B,P. Dodson,1980-07-31,N,,2003-05-20,
BB013,BB,,50.7498566595,-111.4833863302,465899,5622120,673.917,,DPF,673.975402832031,Contact 223,663.111,10.864402832031,,,DPF1,Y,Y,Y,,Mixed faunal Class C,P. J. Currie,1980-08-17,N,,2002-05-16,
BB014,BB,,50.7471651182,-111.4840248101,465852,5621821,698.333,,DPF,697.77197265625,Contact 223,663.111,34.66097265625,,,DPF4,Y,Y,Y,,Mixed faunal Class B/D,P. J. Currie,1980-08-01,N,,2002-05-18,
BB015,BB,,50.7480600875,-111.4872233373,465627,5621922,689.5,,DPF,689.3662109375,Contact 223,663.111,26.2552109375,,,DPF3,Y,Y,Y,,Mixed faunal Class C/D,S. Andrews,1980-08-20,N,,2001-10-18,
BB016,BB,,50.7502957434,-111.4859282373,465720,5622170,667.846,,DPF,667.20166015625,Contact 223,663.111,4.09066015625001,,,DPF1,Y,Y,Y,,Mainly hadrosaur Class B,P. J. Currie,1980-08-20,N,,2002-05-18,
BB016A,BB,,50.7503790954184,-111.485347910411,465761,5622179,,,DPF,666.338195800781,Contact 223,663.111,3.22719580078103,,,DPF2,Y,Y,Y,,Adocus plastron – incomplete ex situ,,2019,,,,
BB017,BB,,50.7639729481,-111.4264169117,469927,5623665,674.62,,DPF,671.859802246094,Contact 127,660.0668,11.793002246094,,,DPF3,Y,Y,Y,,Mixed faunal Class C/D,P. J. Currie,1980-08-21,N,,2022-08-20,
