Specimen_no,Field_no,Institution,Locality,Loc_known,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Genus,Species,Type_status,Original_ID,OTU,OTU2,Preservation,Taph_cat,Collected_by,Date_collected,Description,In_ex_situ,References
TMP2011.012.0341,,TMP,BB050D,Y,Actinopterygii,Chondrostei,Acipenseriformes,,,Acipenseridae,,,,,,Acipenseridae,Fishes,IE,AQUA,D. Tanke,2011,Right cleithrum,,
TMP2004.012.0092,,TMP,IE032,Y,Actinopterygii,Chondrostei,Acipenseriformes,,,Acipenseridae,,,,,,Acipenseridae,Fishes,IE,AQUA,,2004,Cleithrum,,
TMP2018.012.0061,,TMP,IE093,Y,Actinopterygii,Chondrostei,Acipenseriformes,,,Acipenseridae,,,,,,Acipenseridae,Fishes,IE,AQUA,,2018,Skull bone,,
TMP1980.016.1255,,TMP,Q145,Y,Actinopterygii,Chondrostei,Acipenseriformes,,,Acipenseridae,,,,,,Acipenseridae,Fishes,SK,AQUA,J.L. Cormack; D. Fisk,1980,Partial skull found in 1979,in situ,
UALVP56596,DPP.2016.325,UALVP,Q266,Y,Actinopterygii,Chondrostei,Acipenseriformes,,,Acipenseridae,,Anchiacipenser,Anchiacipenser acanthaspis,Holotype,,Acipenseridae,Fishes,SK,AQUA,H. Sato; G. Funston; C. Coy,Summer 2016,Skull and skeleton,in situ,
TMP1987.036.0178,,TMP,V005,Y,Actinopterygii,Chondrostei,Acipenseriformes,,,Acipenseridae,,,,,,Acipenseridae,Fishes,SK,AQUA,,1987,Partial skull and fin spine,in situ,
TMP1996.150.0001,,TMP,V026,Y,Actinopterygii,Chondrostei,Acipenseriformes,,,Acipenseridae,,,,,,Acipenseridae,Fishes,SK,AQUA,,1996,Associated skeleton,in situ,Photo from 2018 TMP fieldhouse visit
TMP2019.012.0102,,TMP,BB016A,Y,Sauria,,Testudines,Cryptodira,Pantrionychia,Adocidae,,Adocus,Adocus sp.,,,Adocus,Turtles,SK,AQUA,,2019,Plastron – incomplete,ex situ,
TMP1988.036.0106,,TMP,BB075,Y,Sauria,,Testudines,Cryptodira,Pantrionychia,Adocidae,,Adocus,Adocus sp.,,,Adocus,Turtles,SK,AQUA,,1988,Carapace,in situ,
TMP1986.036.0579,,TMP,V002,Y,Sauria,,Testudines,Cryptodira,Pantrionychia,Adocidae,,Adocus,Adocus sp.,,,Adocus,Turtles,SK,AQUA,,1986,Fragmentary carapace,,
TMP2006.012.0218,DB.06.5,TMP,V071,Y,Sauria,,Testudines,Cryptodira,Pantrionychia,Adocidae,,Adocus,Adocus sp.,,,Adocus,Turtles,SK,AQUA,D. Brinkman,2006,Partial carapace and vertebra,in situ,
TMP1994.373.0001,,TMP,Not found,N,Sauria,,Testudines,Cryptodira,Pantrionychia,Adocidae,,Adocus,Adocus sp.,,,Adocus,Turtles,SK,AQUA,,1994,Nearly complete carapace,,
TMP1996.012.0188,,TMP,BB065,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,IE,AQUA,,1996,Globidontan dentary,ex situ,Wu 2005
TMP1988.036.0173,,TMP,BB075,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,IE,AQUA,,1988,Albertochampsan jaw; Stangerochampsa-like,,
TMP1999.055.0052,MISC.DPP.99-24,TMP,IE021,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,IE,AQUA,D. Brinkman,1999,Dentary fragment,,
TMP2012.012.0009,,TMP,IE068,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,IE,AQUA,,2012,Dentary,,
TMP1982.031.0058,,TMP,Q157,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,Stangerochampsa,Albertochampsa,Crocodilians,IE,AQUA,,1982,Globidontan jaw,ex situ,
TMP1982.031.0002,,TMP,Q157,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,IE,AQUA,,1982,Globidontan jaw,,Wu 2005
TMP1980.016.0768,,TMP,Not found,N,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,IE,AQUA,,1980,Complete mandible,,Wu 2005
TMP1990.036.0439,,TMP,Not found,N,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,IE,AQUA,,1990,Jaw,,
TMP1991.036.0584,,TMP,Not found,N,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,IE,AQUA,,1991,Jaw; surface collected,,Wu 2005
SMM P67.15.3,,SMM,Sec12 Twp21 R9 W4,N,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,Alligatoridae,,Albertochampsa,Albertochampsa langstoni,,,Albertochampsa,Crocodilians,SK,AQUA,,1967,Complete skull,,Erickson 1972; Wu 2005
UALVP52945,,UALVP,BB028,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,,Alligatoroidea indet,Crocodilians,IE,AQUA,P. Bell,2007-05-11,Basicranium,,
TMP1981.019.0278,,TMP,BB047,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,,Alligatoroidea indet,Crocodilians,IE,AQUA,,1981,Maxilla and dentary,in situ,
UALVP59605,DPP.2017.122b,UALVP,BB237A,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,Crocodylidae,Alligatoroidea indet,Crocodilians,IE,AQUA,A. van der Reest,2017-05-23,Dentary,in situ,
TMP1980.016.1749,,TMP,Q157,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,,Alligatoroidea indet,Crocodilians,IE,AQUA,,1980,Complete mandible,,
UAD 130,UAD 130,TMP,U130,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,,Alligatoroidea indet,Crocodilians,IE,AQUA,,1998,Back of skull,,
TMP2017.012.0134,DPP.2017.133,TMP,Q277,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,,Alligatoroidea indet,Crocodilians,SK,AQUA,S. Vipond,2017,Skull and partial skeleton,in situ,
UAD 073,UAD 073,TMP,U073,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,,Alligatoroidea indet,Crocodilians,SK,AQUA,,,Lower jaw; scutes; limb bone; phalanx,,
TMP2004.012.0088,WJS.2002,TMP,U198,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,,Alligatoroidea indet,Crocodilians,SK,AQUA,,2003,Skull,,
UAD 240,TMP U240,TMP,U240,Y,Sauria,Crocodylomorpha,Eusuchia,Crocodilia,Alligatoroidea,,,,,,,Alligatoroidea indet,Crocodilians,SK,AQUA,,,Scattered skeleton including vertebrae; scutes; phalanx,,
UAD 290,UAD 290,,U290,Y,Actinopterygii,Holostei,Amiiformes,,,Amiidae,,,,,,Amiidae indet,Fishes,SK,AQUA,,,Skeleton,,
UAD 289,UAD 289,,U289,Y,Sauria,Dinosauria,Ornithischia,Thyreophora,Ankylosauria,,,,,,,Ankylosauria indet,Crocodilians,SK,MEGA,,,Skull,,
