Species,Taxon,Mass,Density,Density.corr,Density.corr2
Philander opossum,C_Mammal,338,105,1050,525
Sarcophilus harrisii,C_Mammal,5700,11.6,116,58
Acinonyx jubatus,C_Mammal,50000,0.0601,0.601,0.3005
Alopex lagopus,C_Mammal,5500,0.175,1.75,0.875
Bassariscus astutus,C_Mammal,1020,2.2,22,11
Canis adustus,C_Mammal,5440,0.23,2.3,1.15
Canis aureus,C_Mammal,12500,0.258,2.58,1.29
Canis latrans,C_Mammal,14000,0.296,2.96,1.48
Canis lupus,C_Mammal,45600,0.02,0.2,0.1
Canis simensis,C_Mammal,10000,2,20,10
Crocuta crocuta,C_Mammal,65000,0.506,5.06,2.53
Cryptoprocta ferox,C_Mammal,9500,1,10,5
Cuon alpinus,C_Mammal,16000,0.625,6.25,3.125
Dusicyon thous,C_Mammal,6500,4,40,20
Eira barbara,C_Mammal,5000,2,20,10
Felis concolor,C_Mammal,59500,0.02,0.2,0.1
Felis onca,C_Mammal,85500,0.01,0.1,0.05
Felis pardalis,C_Mammal,13600,0.25,2.5,1.25
Felis sylvestris,C_Mammal,4380,0.414,4.14,2.07
Felis yagouaroundi,C_Mammal,7480,0.73,7.3,3.65
Fossa fossana,C_Mammal,1800,3.85,38.5,19.25
Galictis vittata,C_Mammal,4800,2.4,24,12
Galidia elegans,C_Mammal,820,6,60,30
Genetta genetta,C_Mammal,1780,2.13,21.3,10.65
Herpestes sanguineus,C_Mammal,525,1.5,15,7.5
Ichneumia albicauda,C_Mammal,3700,1.93,19.3,9.65
Lutra perspillata,C_Mammal,5000,5,50,25
Lycaon pictus,C_Mammal,20700,0.022,0.22,0.11
Lynx canadensis,C_Mammal,10200,0.13,1.3,0.65
Lynx lynx,C_Mammal,28600,0.043,0.43,0.215
Martes americana,C_Mammal,883,1.2,12,6
Martes pennanti,C_Mammal,3250,0.235,2.35,1.175
Mungotictis decemlineata,C_Mammal,670,8.2,82,41
Mustela erminea,C_Mammal,78.9,10.53,105.3,52.65
Mustela nivalis,C_Mammal,80,36,360,180
Panthera leo,C_Mammal,150000,0.13,1.3,0.65
Panthera pardus,C_Mammal,41400,0.21,2.1,1.05
Panthera tigris,C_Mammal,130000,0.056,0.56,0.28
Panthera uncia,C_Mammal,71700,0.012,0.12,0.06
Taxidea taxus,C_Mammal,8620,2.2,22,11
Ursus maritimus,C_Mammal,386000,0.0162,0.162,0.081
Vulpes vulpes,C_Mammal,5440,1.6,16,8
Canis mesomelas,C_Mammal,8160,2.26,22.6,11.3
Potos flavus,C_Mammal,2490,14.4,144,72
Procyon lotor,C_Mammal,10700,3.4,34,17
Procyon cancrivorus,C_Mammal,7050,7.1,71,35.5
Ursus americanus,C_Mammal,153000,0.818,8.18,4.09
Ursus arctos,C_Mammal,233000,0.129,1.29,0.645
Didelphis marsupialis,C_Mammal,1070,69,690,345
Agama agama,Reptile,16,4820,241,192.8
Agama rupelli,Reptile,35.2,400,20,16
Ameiva quadrilineata,Reptile,58.4,3100,155,124
Anolis angusticeps,Reptile,2.76,98300,4915,3932
Anolis bonairensis,Reptile,3.15,131800,6590,5272
Anolis carolinensis,Reptile,9.44,56400,2820,2256
Anolis distichus,Reptile,1.93,95700,4785,3828
Anolis sagrei,Reptile,6.53,391000,19550,15640
Bassiliscus vittatus,Reptile,182,750,37.5,30
Cnemidaphorus murinus,Reptile,27.7,55600,2780,2224
Eremias spekei,Reptile,2.3,21000,1050,840
Eumeces fasciatus,Reptile,6.05,18500,925,740
Gonatodes antillensis,Reptile,0.843,420000,21000,16800
Hemidactylus brookii,Reptile,4.1,3000,150,120
Holodactylus sp.,Reptile,5.7,1200,60,48
Latastia longicauda,Reptile,13.3,467,23.35,18.68
Lygodactylus picturatus,Reptile,3.22,3580,179,143.2
Mabuya buettneri,Reptile,129,1528,76.4,61.12
Mabuya maculilabris,Reptile,58.4,891,44.55,35.64
Mabuya quinquetaeniata,Reptile,26.6,200,10,8
Pachydactylus tuberculosus,Reptile,9.75,2133,106.65,85.32
Panaspis nimbaensis,Reptile,17.9,272,13.6,10.88
Riopa sundevalli,Reptile,10.8,1200,60,48
Sceloporus olivaceus,Reptile,25,3090,154.5,123.6
Uromastix acanthinurus,Reptile,2170,181,9.05,7.24
Uta stansburiana,Reptile,1.96,13600,680,544
Varanus exanthematicus,Reptile,1500,26.7,1.335,1.068
Varanus komodoensis,Reptile,12000,2,0.1,0.08
Varanus niloticus,Reptile,750,50,2.5,2
Gorgosaurus libratus,C_Dinosaur,2513390,0.083333,0.083333,0.083333
Daspletosaurus sp.,C_Dinosaur,2744971,0.016667,0.016667,0.016667
Caenagnathus collinsi,C_Dinosaur,96000,0.01458333,0.01458333,0.01458333
Chirostenotes pergracilis,C_Dinosaur,63872,0.01458333,0.01458333,0.01458333
Citipes elegans,C_Dinosaur,19800,0.029166667,0.029166667,0.029166667
Stenonychosaurus inequalis,C_Dinosaur,57447,0.05,0.05,0.05
Dromaeosaurus albertensis,C_Dinosaur,15060,0.0375,0.0375,0.01666667
Saurornitholestes langstoni,C_Dinosaur,21789,0.0375,0.0375,0.01666667
Euoplocephalus tutus,H_Dinosaur,1617900,0.076388889,0.076388889,NA
Dyoplosaurus acutosquameus,H_Dinosaur,2194890,0.015277778,0.015277778,NA
Edmontonia rugosidens,H_Dinosaur,3180670,0.025,0.025,NA
Corythosaurus casuarius,H_Dinosaur,3515045,0.401402573,0.401402573,NA
Parasaurolophus walkeri,H_Dinosaur,3785365,0.022523946,0.022523946,NA
Gryposaurus notabilis,H_Dinosaur,4717051,0.150883621,0.150883621,NA
Centrosaurus apertus,H_Dinosaur,2125548,0.356060606,0.356060606,NA
Chasmosaurus russelli,H_Dinosaur,2213030,0.026704545,0.026704545,NA
