Taxon,Age,M.Erickson1,M.Erickson2,B.proportion,Age.class.Schroeder,B.prop.by.class.Schroeder,Age.class.Therrien,B.prop.by.class.this.study
Gorgosaurus,1,60.8746521228231,16.0059965896978,0.002,Young juvenile,0.108108108108108,Young juvenile,0.16
Gorgosaurus,2,74.6123999713821,23.2658095562769,0.0025,Young juvenile,0.135135135135135,Young juvenile,0.2
Gorgosaurus,3,91.3166621197926,33.7272627408776,0.003,Young juvenile,0.162162162162162,Young juvenile,0.24
Gorgosaurus,4,111.562328591913,48.7034758730492,0.005,Young juvenile,0.27027027027027,Young juvenile,0.4
Gorgosaurus,5,136.004072044773,69.9421992242018,0.006,Young juvenile,0.324324324324324,Juvenile,0.0369230769230769
Gorgosaurus,6,165.372123632849,99.6639857151292,0.01,Juvenile,0.0173310225303293,Juvenile,0.0615384615384615
Gorgosaurus,7,200.459224839656,140.491625100608,0.015,Juvenile,0.0259965337954939,Juvenile,0.0923076923076923
Gorgosaurus,8,242.095297756318,195.166797759088,0.018,Juvenile,0.0311958405545927,Juvenile,0.110769230769231
Gorgosaurus,9,291.106293846764,265.945052663724,0.0275,Juvenile,0.0476603119584055,Juvenile,0.169230769230769
Gorgosaurus,10,348.25442590048,353.653140021335,0.036,Juvenile,0.0623916811091854,Juvenile,0.221538461538462
Gorgosaurus,11,414.159037920366,456.642470174766,0.05,Juvenile,0.0866551126516465,Juvenile,0.307692307692308
Gorgosaurus,12,489.201109946176,570.198105988513,0.0625,Juvenile,0.108318890814558,Adult,0.0757575757575758
Gorgosaurus,13,573.419822034027,687.034824766433,0.075,Juvenile,0.12998266897747,Adult,0.0909090909090909
Gorgosaurus,14,666.415924769667,798.995683973579,0.0875,Juvenile,0.151646447140381,Adult,0.106060606060606
Gorgosaurus,15,767.282041368853,899.206634546974,0.0975,Juvenile,0.168977469670711,Adult,0.118181818181818
Gorgosaurus,16,874.581756254959,983.567946132933,0.098,Juvenile,0.169844020797227,Adult,0.118787878787879
Gorgosaurus,17,986.394817107572,1050.99806827117,0.092,Adult,0.227441285537701,Adult,0.111515151515152
Gorgosaurus,18,1100.43407211006,1102.69605218089,0.085,Adult,0.210135970333745,Adult,0.103030303030303
Gorgosaurus,19,1214.22307502648,1141.08058080007,0.07,Adult,0.173053152039555,Adult,0.0848484848484849
Gorgosaurus,20,1325.30693263157,1168.90642476489,0.055,Adult,0.135970333745365,Adult,0.0666666666666667
Gorgosaurus,21,1431.45930307913,1188.73006863637,0.04,Adult,0.0988875154511743,Adult,0.0484848484848485
Gorgosaurus,22,1530.84959610801,1202.6783741435,0.0275,Adult,0.0679851668726823,Adult,0.0333333333333333
Gorgosaurus,23,1622.14587848223,1212.40707552177,0.0175,Adult,0.0432632880098888,Adult,0.0212121212121212
