Name of Ecosystem,Group,Fauna,Area.km2,Biostrat,Prey.Biomass.kg/km2,Predator.Biomass.kg/km2,Predator.prey.ratio,Reference
"Amboseli National Park, Kenya",All,Africa predators,390,,7114.6,63.2,0.00888314170859922,Hatton et al. (2015)
"Etosha National Park, Namibia",All,Africa predators,16280,,198.8,4.7,0.0236418511066398,Hatton et al. (2015)
"Gonarezhou National Park, Zimbabwe",All,Africa predators,5053,,480.3,10.2,0.0212367270455965,Hatton et al. (2015)
"Hluhluwe iMfolozi National Park, South Africa",All,Africa predators,960,,4400.8,37.5,0.00852117796764225,Hatton et al. (2015)
"Hwange National Park, Zimbabwe",All,Africa predators,14651,,512.4,8.6,0.016783762685402,Hatton et al. (2015)
"Kalahari National Park, South Africa",All,Africa predators,9590,,257.9,3.8,0.0147343931756495,Hatton et al. (2015)
"Katavi National Park, Tanzania",All,Africa predators,4471,,2795.7,14.8,0.00529384411775226,Hatton et al. (2015)
"Kidepo Valley National Park, Uganda",All,Africa predators,1442,,1425.3,14.4,0.0101031361818565,Hatton et al. (2015)
"Kruger National Park, South Africa",All,Africa predators,18989,,1361.4,20.4,0.0149845747025121,Hatton et al. (2015)
"Lake Manyara National Park, Tanzania",All,Africa predators,110,,8077,56.6,0.00700755230902563,Hatton et al. (2015)
"Masai Mara National Reserve, Kenya",All,Africa predators,1670,,4395.8,67.1,0.0152645707266027,Hatton et al. (2015)
"Mkomazi Game Reserve, Tanzania",All,Africa predators,3245,,286.2,5,0.0174703004891684,Hatton et al. (2015)
"Nairobi National Park, Kenya",All,Africa predators,122,,3202.2,39.4,0.0123040409718319,Hatton et al. (2015)
"Ngorongoro Crater, Tanzania",All,Africa predators,260,,13352.8,91.5,0.0068524953567791,Hatton et al. (2015)
"Nwaswitshaka River, Kruger NP, South Africa",All,Africa predators,81,,3509.9,36.9,0.0105131200319097,Hatton et al. (2015)
"Okavango Delta, Botswana",All,Africa predators,,,1678,14.6,0.00870083432657926,Hatton et al. (2015)
"Pilanesburg National Park, South Africa",All,Africa predators,500,,2336.3,27.3,0.0116851431751059,Hatton et al. (2015)
"Queen Elizabeth National Park, Uganda",All,Africa predators,1978,,2755.8,18.1,0.00656796574497424,Hatton et al. (2015)
"Sabie River, Kruger NP, South Africa",All,Africa predators,17,,6930.8,72.7,0.0104894095919663,Hatton et al. (2015)
"Savuti area of Chobe National Park, Botswana",All,Africa predators,300,,4353.9,41.4,0.00950871632329636,Hatton et al. (2015)
