Ecosystem,Group,Name,Predator,B,Proportion,References
DPF MAZ1a,Uncorrected,Gorgosaurus libratus,G. libratus,191.626746666667,79.6600354763315,This study
DPF MAZ1a,Uncorrected,Daspletosaurus sp.,Daspleto,45.7495166666667,19.0182643294107,This study
DPF MAZ1a,Uncorrected,Stenonychosaurus inequalis,Stenony,2.87235,1.19404783977498,This study
DPF MAZ1a,Uncorrected,Saurornitholestes langstoni,Saurorni,0.181575,0.0754814825864333,This study
DPF MAZ1a,Uncorrected,Dromaeosaurus albertensis,Dromaeo,0.1255,0.0521708718964471,This study
DPF MAZ1a,Corrected,Gorgosaurus libratus,G. libratus,191.626746666667,60.4973507442459,This study
DPF MAZ1a,Corrected,Daspletosaurus sp.,Daspleto,45.7495166666667,14.4433102596972,This study
DPF MAZ1a,Corrected,Stenonychosaurus inequalis,Stenony,44.6024437176155,14.0811746197873,This study
DPF MAZ1a,Corrected,Saurornitholestes langstoni,Saurorni,34.773587568982,10.9781643762697,This study
DPF MAZ1a,Corrected,Dromaeosaurus albertensis,Dromaeo,7.21038453516274,2.27634800367095,This study
DPF MAZ1a,Corrected,Other theropods,Other,9.82220976549232,3.1009119530698,This study
Africa,Amboseli,Panthera leo,P. leo,11.30769,17.8969863136848,Hatton et al. (2015)
Africa,Amboseli,Crocuta crocuta,C. crocuta,50,79.1363501903783,Hatton et al. (2015)
Africa,Amboseli,Acinonyx jubatus,A. jubatus,1.8744,2.9666634959369,Hatton et al. (2015)
Africa,Etosha,Panthera leo,P. leo,0.95274,17.2069771389974,Hatton et al. (2015)
Africa,Etosha,Crocuta crocuta,C. crocuta,1.99325,35.9991258709685,Hatton et al. (2015)
Africa,Etosha,Panthera pardus,P. pardus,0.48865,8.82527172048099,Hatton et al. (2015)
Africa,Etosha,Acinonyx jubatus,A. jubatus,0.3442,6.21643001368987,Hatton et al. (2015)
Africa,Etosha,Hyaena hyaena,H. hyaena,1.1635,21.0134117400586,Hatton et al. (2015)
Africa,Etosha,Lycaon pictus,L. pictus,0.5946,10.7387835158048,Hatton et al. (2015)
Africa,Gonarezhou,Panthera leo,P. leo,3.241639,31.8800433388712,Hatton et al. (2015)
Africa,Gonarezhou,Crocuta crocuta,C. crocuta,6.9266,68.1199566611288,Hatton et al. (2015)
Africa,Hluhluwe iMfolozi,Panthera leo,P. leo,12.73125,33.9181621517935,Hatton et al. (2015)
Africa,Hluhluwe iMfolozi,Crocuta crocuta,C. crocuta,17.3175,46.136693024148,Hatton et al. (2015)
Africa,Hluhluwe iMfolozi,Panthera pardus,P. pardus,2.9677,7.90644515015239,Hatton et al. (2015)
Africa,Hluhluwe iMfolozi,Acinonyx jubatus,A. jubatus,4.3,11.4559133826382,Hatton et al. (2015)
Africa,Hluhluwe iMfolozi,Lycaon pictus,L. pictus,0.21875,0.58278629126793,Hatton et al. (2015)
Africa,Hwange,Panthera leo,P. leo,4.3164615,50.167428676395,Hatton et al. (2015)
Africa,Hwange,Crocuta crocuta,C. crocuta,2.98415,34.6828373853593,Hatton et al. (2015)
Africa,Hwange,Panthera pardus,P. pardus,0.75165,8.73593978878586,Hatton et al. (2015)
Africa,Hwange,Acinonyx jubatus,A. jubatus,0.2489,2.89280305119244,Hatton et al. (2015)
Africa,Hwange,Hyaena hyaena,H. hyaena,0.0113,0.131332561183104,Hatton et al. (2015)
Africa,Hwange,Lycaon pictus,L. pictus,0.29165,3.38965853708428,Hatton et al. (2015)
Africa,Kalahari,Panthera leo,P. leo,1.970803,51.5121005420158,Hatton et al. (2015)
Africa,Kalahari,Crocuta crocuta,C. crocuta,0.4692,12.2637714547389,Hatton et al. (2015)
Africa,Kalahari,Panthera pardus,P. pardus,0.3858,10.0838939199452,Hatton et al. (2015)
Africa,Kalahari,Acinonyx jubatus,A. jubatus,0.269,7.03101986642108,Hatton et al. (2015)
Africa,Kalahari,Hyaena hyaena,H. hyaena,0.7311,19.109214216879,Hatton et al. (2015)
